GENESIS-Tabelle: 24321-0002
Strafgefangene und Sicherungsverwahrte: Bundesländer,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stichtag, Nationalität, Geschlecht, Altersgruppen, Art des;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vollzugs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Strafvollzugsstatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Strafgefangene und Sicherungsverwahrte (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Baden-Württemberg;Baden-Württemberg;Baden-Württemberg;Bayern;Bayern;Bayern;Berlin;Berlin;Berlin;Brandenburg;Brandenburg;Brandenburg;Bremen;Bremen;Bremen;Hamburg;Hamburg;Hamburg;Hessen;Hessen;Hessen;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen;Niedersachsen;Nordrhein-Westfalen;Nordrhein-Westfalen;Nordrhein-Westfalen;Rheinland-Pfalz;Rheinland-Pfalz;Rheinland-Pfalz;Saarland;Saarland;Saarland;Sachsen;Sachsen;Sachsen;Sachsen-Anhalt;Sachsen-Anhalt;Sachsen-Anhalt;Schleswig-Holstein;Schleswig-Holstein;Schleswig-Holstein;Thüringen;Thüringen;Thüringen
;;;;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs;Art des Vollzugs
;;;;Freiheitsstrafe;Jugendstrafe;Sicherungsverwahrung;Freiheitsstrafe;Jugendstrafe;Sicherungsverwahrung;Freiheitsstrafe;Jugendstrafe;Sicherungsverwahrung;Freiheitsstrafe;Jugendstrafe;Sicherungsverwahrung;Freiheitsstrafe;Jugendstrafe;Sicherungsverwahrung;Freiheitsstrafe;Jugendstrafe;Sicherungsverwahrung;Freiheitsstrafe;Jugendstrafe;Sicherungsverwahrung;Freiheitsstrafe;Jugendstrafe;Sicherungsverwahrung;Freiheitsstrafe;Jugendstrafe;Sicherungsverwahrung;Freiheitsstrafe;Jugendstrafe;Sicherungsverwahrung;Freiheitsstrafe;Jugendstrafe;Sicherungsverwahrung;Freiheitsstrafe;Jugendstrafe;Sicherungsverwahrung;Freiheitsstrafe;Jugendstrafe;Sicherungsverwahrung;Freiheitsstrafe;Jugendstrafe;Sicherungsverwahrung;Freiheitsstrafe;Jugendstrafe;Sicherungsverwahrung;Freiheitsstrafe;Jugendstrafe;Sicherungsverwahrung
31.03.2021;Deutsche;männlich;14 bis unter 18 Jahre;0;36;0;0;32;0;0;7;0;0;0;0;0;1;0;0;2;0;0;11;0;0;5;0;0;18;0;0;70;0;0;13;0;0;3;0;0;8;0;0;8;0;0;4;0;0;3;0
31.03.2021;Deutsche;männlich;18 bis unter 21 Jahre;23;102;0;24;118;0;0;45;0;1;10;0;2;1;0;0;13;0;2;66;0;1;23;0;1;79;0;3;222;0;3;53;0;0;15;0;1;57;0;0;38;0;0;16;0;0;20;0
31.03.2021;Deutsche;männlich;21 bis unter 25 Jahre;183;70;0;259;128;0;34;28;0;17;15;0;13;0;0;22;14;0;52;58;0;30;30;0;93;89;0;218;215;0;63;61;0;18;13;0;54;47;0;53;49;0;25;18;0;32;48;0
31.03.2021;Deutsche;männlich;25 bis unter 30 Jahre;377;3;0;583;1;0;163;3;0;94;0;0;34;0;0;79;0;0;214;2;0;89;1;0;330;3;0;930;13;0;221;1;0;55;0;0;202;0;0;157;1;0;102;0;0;111;3;0
31.03.2021;Deutsche;männlich;30 bis unter 40 Jahre;889;0;2;1285;0;4;416;0;3;283;0;2;96;0;0;210;0;3;531;0;3;256;0;2;814;0;1;2255;0;7;538;0;2;143;0;0;585;0;1;537;0;1;200;0;0;438;0;0
31.03.2021;Deutsche;männlich;40 bis unter 50 Jahre;488;0;15;703;0;11;260;0;10;93;0;3;60;0;0;116;0;2;378;1;14;147;0;4;530;0;8;1452;0;27;293;0;9;100;0;1;308;0;12;250;0;2;100;0;1;215;0;2
31.03.2021;Deutsche;männlich;50 bis unter 60 Jahre;321;0;26;545;0;13;167;0;21;64;0;5;29;0;0;72;0;14;246;0;25;62;0;5;333;0;24;882;0;59;201;0;23;48;0;1;145;0;10;101;0;9;67;0;1;98;0;1
31.03.2021;Deutsche;männlich;60 bis unter 70 Jahre;151;0;10;209;0;10;74;0;11;38;0;2;10;0;0;23;0;4;101;0;19;30;0;1;120;0;12;304;0;38;69;0;8;22;0;0;42;0;9;36;0;4;16;0;3;33;0;0
31.03.2021;Deutsche;männlich;70 Jahre und mehr;51;0;4;70;0;7;22;0;1;5;0;0;2;0;0;7;0;1;37;0;4;5;0;0;35;0;4;100;0;6;23;0;4;4;0;0;16;0;2;8;0;1;9;0;0;7;0;0
31.03.2021;Deutsche;männlich;Insgesamt;2483;211;57;3678;279;45;1136;83;46;595;25;12;246;2;0;529;29;24;1561;138;65;620;59;12;2256;189;49;6144;520;137;1411;128;46;390;31;2;1353;112;34;1142;96;17;519;38;5;934;74;3
31.03.2021;Deutsche;weiblich;14 bis unter 18 Jahre;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;7;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
31.03.2021;Deutsche;weiblich;18 bis unter 21 Jahre;0;8;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;1;0;1;3;0;0;12;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
31.03.2021;Deutsche;weiblich;21 bis unter 25 Jahre;8;2;0;21;1;0;1;1;0;2;3;0;0;0;0;0;0;0;3;1;0;0;0;0;3;0;0;10;9;0;2;1;0;0;0;0;4;2;0;1;0;0;1;0;0;0;0;0
31.03.2021;Deutsche;weiblich;25 bis unter 30 Jahre;19;0;0;41;0;0;6;0;0;15;0;0;1;0;0;2;0;0;13;0;0;5;0;0;16;0;0;52;0;0;15;0;0;0;0;0;27;0;0;0;0;0;5;0;0;0;0;0
31.03.2021;Deutsche;weiblich;30 bis unter 40 Jahre;60;0;0;111;0;0;32;0;0;41;0;0;7;0;0;18;0;0;47;0;0;10;0;0;67;0;0;210;0;0;51;0;0;0;0;0;69;0;0;5;0;0;16;0;0;4;0;0
31.03.2021;Deutsche;weiblich;40 bis unter 50 Jahre;47;0;0;73;0;0;22;0;0;16;0;0;11;0;0;12;0;0;37;0;0;4;0;0;46;0;0;129;0;0;30;0;0;0;0;0;36;0;0;0;0;0;12;0;0;1;0;0
31.03.2021;Deutsche;weiblich;50 bis unter 60 Jahre;26;0;1;49;0;0;8;0;0;8;0;0;1;0;0;3;0;0;19;0;0;2;0;0;19;0;0;81;0;0;22;0;0;0;0;0;7;0;0;1;0;0;3;0;0;1;0;0
31.03.2021;Deutsche;weiblich;60 bis unter 70 Jahre;5;0;0;18;0;0;9;0;0;4;0;0;0;0;0;1;0;0;6;0;1;2;0;0;6;0;0;24;0;0;7;0;0;0;0;0;3;0;0;3;0;0;2;0;0;0;0;0
31.03.2021;Deutsche;weiblich;70 Jahre und mehr;2;0;0;3;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;6;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0
